Organization,Nom de l'entreprise,Number of employees (last value) - Date,NACE Rev.2 Code principal,Ville,Code ISO Pays,Date de création,Total de l'Actif (Dernière année) mUSD (Taux de change à la dernière date de clôture)
Koç Holding AS,KOC HOLDING A.S.,43465,K - Activités financières et d'assurance,KUZGUNCUK,TR,1963,23791.153085032853
Kohlberg Kravis Roberts & Co. Ltd,KOHLBERG KRAVIS ROBERTS & CO. LTD,NA,K - Activités financières et d'assurance,LONDON,GB,36090,31.577738632202148
KPMG,KPMG LLP,43008,"M - Activités spécialisées, scientifiques et techniques",LONDON,GB,37309,2121.3634431362152
LANXESS AG,LANXESS AG,43465,C - Industrie manufacturière,KOLN,DE,2005,9946.6200121641159
Lazard,LAZARD FRERES BANQUE SA,43465,K - Activités financières et d'assurance,PARIS CEDEX 08,FR,NA,1496.5844541382789
Lego Group A/S,LEGO JURIS A/S,NA,N - Activités de services administratifs et de soutien,BILLUND,DK,38139,215.97079849243164
Levi Strauss & Co.,LEVI STRAUSS & CO.,43429,C - Industrie manufacturière,SAN FRANCISCO,US,25895,3542.6599999999999
Liberty Global Inc.,LIBERTY GLOBAL INC,NA,J - Information et communication,DENVER,US,2015,n.d.
LIXIL Corporation,LIXIL GROUP CORPORATION,43555,C - Industrie manufacturière,TOKYO,JP,1949,18567.833482183516
Lockheed Martin Corporation,LOCKHEED MARTIN CORP,43465,C - Industrie manufacturière,BETHESDA,US,34575,44876
Louis Dreyfus Group,LOUIS DREYFUS COMPANY B.V.,43100,G - Commerce; réparation d'automobiles et de motocycles,ROTTERDAM,NL,38349,20393.999999998701
Lulu Group International,LULU GROUP INTERNATIONAL LLC,43100,G - Commerce; réparation d'automobiles et de motocycles,ABU DHABI,AE,39812,n.d.
Mahindra & Mahindra Ltd,MAHINDRA & MAHINDRA LIMITED,43555,C - Industrie manufacturière,MUMBAI,IN,1945,23621.294748342221
Majid Al Futtaim Holding,MAJID AL FUTTAIM HYPERMARKETS LLC,43465,G - Commerce; réparation d'automobiles et de motocycles,DUBAI,AE,35066,n.d.
ManpowerGroup,MANPOWERGROUP INC.,43465,N - Activités de services administratifs et de soutien,MILWAUKEE,US,32975,8519.7999999999993
Marriott International Inc.,MARRIOTT INTERNATIONAL INC,43465,I - Hébergement et restauration,BETHESDA,US,35692,23696
Mercer (MMC),MARSH & MCLENNAN COMPANIES INC,43465,K - Activités financières et d'assurance,NEW YORK,US,25279,21578
MasterCard,MASTERCARD,43465,K - Activités financières et d'assurance,"NEW YORK, NY",US,1966,24860
McKinsey & Company,MCKINSEY & CO INC,NA,"M - Activités spécialisées, scientifiques et techniques",NEW YORK,US,1926,n.d.
Merck,"MERCK & CO., INC.",43465,C - Industrie manufacturière,KENILWORTH,US,25777,82637
Microsoft Corporation,MICROSOFT CORPORATION,43646,J - Information et communication,REDMOND,US,34234,286556
Mitsubishi Corporation,MITSUBISHI CORPORATION,43555,G - Commerce; réparation d'automobiles et de motocycles,TOKYO,JP,1950,149051.57520025966
Mitsui & Co. Ltd,MITSUI & CO LTD,43190,G - Commerce; réparation d'automobiles et de motocycles,TOKYO,JP,1947,107697.25496855844
Mizuho Financial Group Inc.,MIZUHO FINANCIAL GROUP,43555,K - Activités financières et d'assurance,TOKYO,JP,2003,104914.50151142851
Moore Capital Management,MOORE CAPITAL HOLDINGS LLC,2018,"M - Activités spécialisées, scientifiques et techniques",NEW YORK,US,1999,n.d.
Morgan Stanley,MORGAN STANLEY,43465,K - Activités financières et d'assurance,"NEW YORK, NY",US,8767,853531.00799999991
Nasdaq Inc.,"NASDAQ, INC.",43465,K - Activités financières et d'assurance,NEW YORK,US,29172,15700
Naspers Limited,NASPERS LIMITED,43555,J - Information et communication,CAPE TOWN,ZA,1915,33685
Nedbank Group,NEDBANK GROUP LIMITED,43465,K - Activités financières et d'assurance,JOHANNESBURG,ZA,01/01/1888,72532.423321604729
Nestlé SA,NESTLE S.A.,43465,C - Industrie manufacturière,VEVEY,CH,1866,139143.90328168869
Neusoft Corporation,NEUSOFT CORPORATION,43465,J - Information et communication,SHENYANG,CN,35218,1981.6005253554581
Newmont Mining Corporation,NEWMONT GOLDCORP CORPORATION,43465,C - Industrie manufacturière,GREENWOOD VILLAGE,US,37231,20715
NGP Energy Capital Management,NGP ENERGY CAPITAL MANAGEMENT LLC,2018,K - Activités financières et d'assurance,IRVING,US,1988,n.d.
Nielsen,NIELSEN HOLDINGS PLC,43465,"M - Activités spécialisées, scientifiques et techniques",OXFORD,GB,1923,15179
Nike Inc.,NIKE INC,43616,C - Industrie manufacturière,BEAVERTON,US,25454,23717
Nissan Motor Co. Limited,NISSAN MOTOR CO LTD,43555,C - Industrie manufacturière,YOKOHAMA,JP,1933,170865.00024126377
Nomura Holdings Inc.,NOMURA HOLDINGS INC,43555,K - Activités financières et d'assurance,TOKYO,JP,9491,369360.26674374286
Novartis AG,NOVARTIS AG,43465,C - Industrie manufacturière,BASEL,CH,1996,145563
Novo Nordisk A/S,NOVO NORDISK FONDEN,43465,K - Activités financières et d'assurance,HELLERUP,DK,36449,33605.240311443806
NYSE,NYSE GROUP INC,2018,K - Activités financières et d'assurance,NEW YORK,US,2000,n.d.
Oando Plc,OANDO PLC,43465,G - Commerce; réparation d'automobiles et de motocycles,LAGOS,NG,1956,3501.9882661319884
OC Oerlikon Management AG,"OC OERLIKON MANAGEMENT AG, PFAFFIKON",2019,"M - Activités spécialisées, scientifiques et techniques",PFAFFIKON SZ,CH,32423,n.d.
Oil and Natural Gas Corporation Ltd (ONGC),OIL & NATURAL GAS CORPORATION LIMITED,43555,B - Industries extractives,NEW DELHI,IN,1993,71662.964193363674
Old Mutual Plc,OLD MUTUAL LTD,NA,K - Activités financières et d'assurance,NA,ZA,42884,n.d.
Omnicom Group Inc.,OMNICOM GROUP INC,43465,"M - Activités spécialisées, scientifiques et techniques",NEW YORK,US,16393,24617
LUKOIL,PUBLIC JOINT STOCK COMPANY OIL COMPANY LUKOIL,NA,B - Industries extractives,MOSCOW,RU,1993,82515.222828185171
Lloyd's,SOCIETY of LLOYD'S,43100,K - Activités financières et d'assurance,LONDON,GB,1688,6234.7575405836105
A.P. Møller-Maersk A/S,A.P. MOLLER - MAERSK A/S,43465,N - Activités de services administratifs et de soutien,COPENHAGEN,DK,1904,56636
A.T. Kearney,AT KEARNEY INC,2018,"M - Activités spécialisées, scientifiques et techniques",CHICAGO,US,2006,n.d.
ABB Ltd,ABB LTD,43465,C - Industrie manufacturière,ZURICH,CH,1988,44441
Abdul Latif Jameel International Group,NA,NA,NA,NA,NA,NA,NA
Accenture,ACCENTURE PLC,43343,"M - Activités spécialisées, scientifiques et techniques",DUBLIN,IE,1989,24449.083
Acciona SA,ACCIONA S.A.,43465,F - Construction,ALCOBENDAS,ES,1916,17103.5526035873
Adani Group,ADANI GROUP,NA,NA,"AHMEDABAD, GUJARAT",IN,NA,n.d.
Adecco Group,ADECCO GROUP AG,43465,N - Activités de services administratifs et de soutien,GLATTBRUGG,CH,1996,11127.1156070232
Adobe Systems Inc.,ADOBE INC,43434,J - Information et communication,SAN JOSE,US,35559,18768.682
African Rainbow Minerals,AFRICAN RAINBOW MINERALS LIMITED,43281,C - Industrie manufacturière,SANDTON,ZA,1933,2491.08637545258
Agility,AGILITY PUBLIC WAREHOUSING COMPANY K.S.C.,NA,H - Transports et entreposage,SAFAT,KW,1979,6072.01112305021
Airbus Defence and Space GmbH,AIRBUS DEFENCE AND SPACE GMBH,43100,C - Industrie manufacturière,TAUFKIRCHEN,DE,34603,136644.595551252
Al Dabbagh Group Holding Co. Ltd,AL DABBAGH GROUP HOLDING LIMITED COMPANY,NA,NA,JEDDAH,SA,1962,n.d.
Alghanim Industries,AL GHANIM INDUSTRIES COMPANY WLL,42735,F - Construction,SHUWAIKH (AL),KW,29517,n.d.
Alibaba Group,ALIBABA GROUP HOLDING LIMITED,43555,G - Commerce; réparation d'automobiles et de motocycles,GEORGE TOWN,KY,1999,143589.000479937
AlixPartners,ALIXPARTNERS LLP,2018,NA,NEW YORK,US,1981,n.d.
Allianz SE,ALLIANZ SE,43465,K - Activités financières et d'assurance,MUNCHEN,DE,1890,1027714.73287189
American Tower Corporation,AMERICAN TOWER CORPORATION,43465,S - Autres activités de services,BOSTON,US,35332,33010.4
AMTD Group,AMTD INTERNATIONAL HOLDING GROUP LIMITED,NA,K - Activités financières et d'assurance,CENTRAL,HK,40695,n.d.
AngloGold Ashanti Ltd,ANGLOGOLD ASHANTI LIMITED,43465,C - Industrie manufacturière,JOHANNESBURG,ZA,1944,6643
Anheuser-Busch InBev NV,ANHEUSER-BUSCH INBEV SA/NV,43465,C - Industrie manufacturière,BRUXELLES,BE,1987,232103
Antofagasta Minerals Plc,NA,NA,NA,NA,NA,NA,NA
Apax Partners LLP,APAX PARTNERS LLP,43190,K - Activités financières et d'assurance,LONDON,GB,37533,100.924966128349
Aramark Corporation,ARAMARK,43371,I - Hébergement et restauration,PHILADELPHIA,US,38849,13720.102
ArcelorMittal,ARCELORMITTAL S.A.,43465,C - Industrie manufacturière,LUXEMBOURG,LU,37050,91249
Arup Group Ltd,ARUP GROUP LIMITED,43190,"M - Activités spécialisées, scientifiques et techniques",LONDON,GB,28249,1289.01714339256
AT&T,AT&T INC.,43465,J - Information et communication,DALLAS,US,30594,531864
AUDI AG,AUDI AG,43465,C - Industrie manufacturière,INGOLSTADT,DE,1932,75109.7478482723
AXA,AXA SA,43465,K - Activités financières et d'assurance,PARIS,FR,1958,1065646.31198585
BAE Systems Plc,BAE SYSTEMS PLC,43465,C - Industrie manufacturière,LONDON,GB,29220,31416.2716553211
Bain & Company Inc.,BAIN & COMPANY INC.,NA,"M - Activités spécialisées, scientifiques et techniques",BOSTON,US,NA,n.d.
Bajaj Group,NA,NA,NA,NA,NA,NA,NA
Baker & McKenzie,BAKER & MCKENZIE LLP,2018,"M - Activités spécialisées, scientifiques et techniques",CHICAGO,US,1949,n.d.
Banco Bilbao Vizcaya Argentaria SA,BANCO BILBAO VIZCAYA ARGENTARIA SA,43465,K - Activités financières et d'assurance,BILBAO,ES,32152,774809.295431256
Banco Bradesco SA,BANCO BRADESCO SA,43465,K - Activités financières et d'assurance,SAO PAULO,BR,35706,332272.99965133
Banco BTG Pactual,BANCO BTG PACTUAL S.A.,NA,NA,NA,BR,NA,n.d.
Bank Mandiri (Persero) Tbk,BANK MANDIRI (PERSERO) TBK,43465,K - Activités financières et d'assurance,JAKARTA,ID,36161,83022.7261057923
Bank of America Corporation,BANK of AMERICA CORPORATION,43465,K - Activités financières et d'assurance,"CHARLOTTE, NC",US,25146,2354980.096
Barclays,BARCLAYS PLC,43465,K - Activités financières et d'assurance,LONDON,GB,1690,1438758.85356653
BASF SE,BASF SE,43465,C - Industrie manufacturière,LUDWIGSHAFEN AM RHEIN,DE,1865,99106.6699404716
Bayer AG,BAYER AG,43465,C - Industrie manufacturière,LEVERKUSEN,DE,1863,144596.39786303
BC Partners,BC PARTNERS LLP,43100,NA,LONDON,GB,42419,57.2315024145966
BCG Digital Ventures,BCG DIGITAL VENTURES PTY LTD,43465,"M - Activités spécialisées, scientifiques et techniques",MELBOURNE,AU,39799,13.7376840807444
Bharti Enterprises,BHARTI ENTERPRISES LIMITED,NA,S - Autres activités de services,VADODARA,IN,38677,129.433190245251
BlackRock Inc.,"BLACKROCK, INC",43465,K - Activités financières et d'assurance,"NEW YORK, NY",US,1988,159573
BMO Financial Group,BANK of MONTREAL,43404,K - Activités financières et d'assurance,TORONTO,CA,01/01/1817,588987.995212555
BP Plc,BP PLC,43465,C - Industrie manufacturière,LONDON,GB,1909,282176
Bridgewater Associates LP,"BRIDGEWATER ASSOCIATES HOLDINGS, INC.",NA,NA,WESTPORT,US,NA,n.d.
Brightstar Corp.,NA,NA,NA,Miami,US,1997,n.d.
BT Group Plc,BT GROUP PLC,43555,J - Information et communication,LONDON,GB,1846,60661.4597740173
Bunge Limited,BUNGE LIMITED,43465,C - Industrie manufacturière,HAMILTON,BM,1818,19425
CA Technologies,M&A Broadcom,2018,NA,New York,US,1976,NA
Canada Pension Plan Investment Board,Goverment,NA,NA,NA,NA,NA,NA
Canica AS,NA,NA,NA,Oslo,NO,1985,NA
Cargill Incorporated,CARGILL INC,NA,C - Industrie manufacturière,WAYZATA,US,1865,55800
Carlsberg A/S,CARLSBERG A/S,43465,C - Industrie manufacturière,COPENHAGEN V,DK,1847,18053.8089364767
Cassa Depositi e Prestiti S.p.a,CASSA DEPOSITI E PRESTITI,43465,K - Activités financières et d'assurance,ROME,IT,1850,486720.200111357
Centene Corporation,CENTENE CORP,43465,K - Activités financières et d'assurance,ST LOUIS,US,1984,30901
Centrica Plc,CENTRICA PLC,43465,"D - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",WINDSOR,GB,1995,26098.1288458109
Chevron Corporation,CHEVRON CORPORATION,43465,C - Industrie manufacturière,SAN RAMON,US,9524,253863
China Minsheng Investment Group,"CHINA MINSHENG INVESTMENT CO., LTD.",NA,NA,SHANGHAI,CN,NA,n.d.
Cisco,CISCO SYSTEMS INC,43309,C - Industrie manufacturière,SAN JOSE,US,31026,108784
Citi,CITIGROUP INC,43465,K - Activités financières et d'assurance,"NEW YORK, NY",US,4749,1917383.04
"Clayton, Dubilier & Rice LLP","CLAYTON, DUBILIER & RICE INVESTMENT HOLDINGS, L.P.",NA,NA,GRAND CAYMAN,KY,NA,n.d.
Clifford Chance LLP,CLIFFORD CHANCE LLP,43220,"M - Activités spécialisées, scientifiques et techniques",LONDON,GB,39022,1674.45109367371
Cognizant Technology Solutions,COGNIZANT TECHNOLOGY SOLUTIONS CORP,43465,J - Information et communication,TEANECK,US,32239,15913
Consolidated Contractors Company (CCC),CONSOLIDATED CONTRACTORS COMPANY LP,NA,NA,EDINBURGH,GB,42213,n.d.
Credit Suisse AG,CREDIT SUISSE GROUP AG,2019,K - Activités financières et d'assurance,ZURICH,CH,30025,n.d.
Crescent Group,CRESCENT GROUP,NA,NA,NA,AE,NA,n.d.
Daiwa Securities Group Inc.,DAIWA SECURITIES GROUP INC,43555,K - Activités financières et d'assurance,TOKYO,JP,736,190467.967198102
Dana Gas PJSC,DANA GAS PJSC,NA,"D - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",SHARJAH,AE,2005,3167
Danfoss A/S,DANFOSS A/S,43465,C - Industrie manufacturière,NORDBORG,DK,22549,6392.53822119344
Dangote Group,NA,NA,NA,NA,NA,NA,NA
Daniel Swarovski Corporation,DANIEL SWAROVSKI CORPORATION AG,2019,"M - Activités spécialisées, scientifiques et techniques",MANNEDORF,CH,25904,n.d.
Dassault Systèmes SA,DASSAULT SYSTEMES SE,43465,J - Information et communication,VELIZY VILLACOUBLAY,FR,1981,9130.23460078239
Dell Technologies,DELL TECHNOLOGIES INC.,43497,C - Industrie manufacturière,ROUND ROCK,US,41305,111820
Deloitte,DELOITTE NSE LLP,43251,NA,LONDON,GB,42859,4750.71729123592
Deutsche Bank AG,DEUTSCHE BANK AG,43465,K - Activités financières et d'assurance,FRANKFURT AM MAIN,DE,20856,1543617.6428386
Deutsche Börse AG,DEUTSCHE BOERSE AG,43465,K - Activités financières et d'assurance,ESCHBORN,DE,1992,185374.562911403
Deutsche Post DHL Group,DEUTSCHE POST AG,43465,H - Transports et entreposage,BONN,DE,1995,57788.1791198254
DNB ASA,DNB ASA,43465,K - Activités financières et d'assurance,OSLO,NO,2003,303210.931699231
Dogan Holding,NA,NA,NA,NA,NA,NA,NA
Dogus Group,NA,NA,NA,NA,NA,NA,NA
Dow Jones & Company Inc.,DOW JONES & CO INC,39082,C - Industrie manufacturière,NEW YORK,US,18225,1955.562
DP World,DP WORLD PLC,NA,H - Transports et entreposage,DUBAI,AE,2006,26513.339
DSM,KONINKLIJKE DSM N.V.,43465,C - Industrie manufacturière,HEERLEN,NL,1902,15618.9528704882
DuPont,"DUPONT DE NEMOURS, INC.",43100,C - Industrie manufacturière,WILMINGTON,US,42347,187855
eBay Inc.,EBAY INC,43465,G - Commerce; réparation d'automobiles et de motocycles,SAN JOSE,US,35867,22819
Ecolab Inc.,ECOLAB INC,43465,C - Industrie manufacturière,SAINT PAUL,US,8815,20074.5
Ecopetrol S.A.,EMPRESA COLOMBIANA DE PETROLEOS - ECOPETROL S.A.,NA,C - Industrie manufacturière,BOGOTA,CO,1948,38546.636018565
Egon Zehnder,EGON ZEHNDER INTERNATIONAL AG,2019,K - Activités financières et d'assurance,ZURICH,CH,24985,n.d.
Emaar Properties PJSC,EMAAR PROPERTIES PUBLIC JOINT STOCK COMPANY,NA,L - Activités immobilières,DUBAI,AE,35604,30484.9736256925
EMBRAER SA,EMBRAER - EMPRESA BRASILEIRA DE AERONAUTICA S.A.,43465,C - Industrie manufacturière,SAO JOSE DOS CAMPOS,BR,2005,11294.9167076626
Emirates Group,EMIRATES GROUP,NA,NA,DUBAI,AE,NA,n.d.
Emirates NBD Bank,EMIRATES NBD BANK PJSC,43465,K - Activités financières et d'assurance,DUBAI CITY,AE,2007,136240.364853265
ENGIE Group,ENGIE,43465,"D - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",COURBEVOIE,FR,1946,175988.878681898
Eni SpA,ENI S.P.A.,43465,B - Industries extractives,ROMA,IT,1953,135537.15329802
Ericsson,TELEFONAKTIEBOLAGET LM ERICSSON,43465,C - Industrie manufacturière,STOCKHOLM,SE,1876,30008.3744517937
Ernst & Young,ERNST & YOUNG EUROPE LLP,NA,"M - Activités spécialisées, scientifiques et techniques",LONDON,GB,39624,0.646463371753693
Essar Group,NA,NA,NA,NA,NA,NA,NA
Eurasian Resources Group Sàrl,EURASIAN RESOURCES GROUP SARL,2019,N - Activités de services administratifs et de soutien,LUXEMBOURG,LU,41407,n.d.
Facebook Inc.,"FACEBOOK, INC.",43465,J - Information et communication,MENLO PARK,US,38197,97334
FEMSA,FOMENTO ECONOMICO MEXICANO S.A.B. DE C.V.,NA,C - Industrie manufacturière,MONTERREY,MX,1936,29283.3365766071
Fluor Corporation,FLUOR CORP,43465,"M - Activités spécialisées, scientifiques et techniques",IRVING,US,36780,8913.637
FTI Consulting,FTI CONSULTING INC,43465,"M - Activités spécialisées, scientifiques et techniques",WASHINGTON,US,30133,2379.121
Fujitsu Limited,FUJITSU LIMITED,43555,C - Industrie manufacturière,TOKYO,JP,1935,27991.7249859627
Gazprom,PUBLIC JOINT STOCK COMPANY GAZPROM,43465,H - Transports et entreposage,MOSCOW,RU,1993,299557.512697615
GDF SUEZ,France,Euronext Paris,175988.878681898,1946,COURBEVOIE,"The Company is a distributor of natural gas. Net sales break down by activity as follows: international production and sale of gas and electricity, production and sale of gas and electricity in France, supply of energy service, environmental services: distribution of drinking water and waste water treatment, collection and treatment of ordinary and special waste, facility design and construction and exploration and production of natural gas and hydrocarbons.",43465
General Atlantic LLC,GENERAL ATLANTIC LLC,2018,K - Activités financières et d'assurance,GREENWICH,US,1981,n.d.
General Electric Company,GENERAL ELECTRIC COMPANY,43465,C - Industrie manufacturière,BOSTON,US,15/04/1892,309585
Generali,ASSICURAZIONI GENERALI SPA,43465,K - Activités financières et d'assurance,TRIESTE,IT,1831,590622.212618232
GIC Private Limited,GIC PRIVATE LIMITED,NA,K - Activités financières et d'assurance,SINGAPORE,SG,29728,n.d.
Glencore,GLENCORE PLC,43100,B - Industries extractives,ST HELIER,GB,2011,128672
GMR Group,NA,NA,NA,New-Dehli,IN,1978,NA
Godrej Industries Ltd,GODREJ INDUSTRIES LIMITED,43555,C - Industrie manufacturière,MUMBAI,IN,32209,2651.48979589902
Goldcorp Inc.,GOLDCORP INC,NA,C - Industrie manufacturière,VANCOUVER,CA,34424,16967
Goldman Sachs,"GOLDMAN SACHS GROUP, INC",43465,K - Activités financières et d'assurance,"NEW YORK, NY",US,33238,931798.016
Google,ALPHABET INC.,43465,J - Information et communication,MOUNTAIN VIEW,US,42208,232792
Grupo Salinas,GRUPO SALINAS SA DE CV,2017,K - Activités financières et d'assurance,MEXICO CITY DELEGACION IZTAPALAPA,MX,32509,n.d.
Guggenheim Partners LLC,GUGGENHEIM CAPITAL LLC,2018,NA,CHICAGO,US,1996,n.d.
Gunvor Group,GUNVOR SA,2019,G - Commerce; réparation d'automobiles et de motocycles,GENEVE,CH,38706,n.d.
Hanwha Group,NA,NA,NA,Seoul,KOR,1952,NA
HCL Technologies Ltd,HCL TECHNOLOGIES LIMITED,43555,J - Information et communication,NEW DELHI,IN,1991,8468.10725843534
Heidrick & Struggles,HEIDRICK & STRUGGLES INTERNATIONAL INC,43465,N - Activités de services administratifs et de soutien,CHICAGO,US,24967,700.629
HEINEKEN,HEINEKEN NV,43465,C - Industrie manufacturière,AMSTERDAM,NL,1873,48039.6442074776
Henkel AG & Co. KGaA,HENKEL AG & CO. KGAA,43465,C - Industrie manufacturière,DUSSELDORF,DE,1876,33918.35209167
Hero Group,NA,2019,NA,NEW DELHI,IN,1984,2600
Hewlett Packard Enterprise,HEWLETT PACKARD ENTERPRISE COMPANY,43404,C - Industrie manufacturière,SAN JOSE,US,42060,55493
