round,Organization,Nom de l'entreprise,Number of employees (last value) - Date,NACE Rev.2 Code principal,Ville,Code ISO Pays,Date de création,Total de l'Actif (Dernière année) mUSD (Taux de change à la dernière date de clôture)
first,"Iron Mountain Information Management, LLC",IRON MOUNTAIN INC,43465,H - Transports et entreposage,BOSTON,US,41816,11852247
first,Itaú Unibanco SA,NA,NA,NA,NA,NA,NA,NA
first,Jerónimo Martins SGPS SA,NA,NA,NA,NA,NA,NA,NA
first,Johannesburg Stock Exchange Ltd,JSE LTD,43465,K - Activités financières et d'assurance,SANDOWN,ZA,1887,2912.98856096342
first,Johnson & Johnson,JOHNSON & JOHNSON,43464,C - Industrie manufacturière,NEW BRUNSWICK,US,10/11/1887,152954
first,Johnson Controls,JOHNSON CONTROLS INTERNATIONAL PLC,43373,C - Industrie manufacturière,CORK,IE,41768,48797
first,Jones Lang LaSalle Inc.,JONES LANG LASALLE INC,43465,L - Activités immobilières,CHICAGO,US,35535,10025.5
first,JPMorgan Chase & Co.,JPMORGAN CHASE & CO,43465,K - Activités financières et d'assurance,"NEW YORK, NY",US,25139,2622532096
first,Jubilant Bhartia Group,NA,NA,NA,NA,NA,NA,NA
first,Kaiser Permanente,KAISER PERMANENTE INC,NA,K - Activités financières et d'assurance,PASADENA,US,1945,n.d.
first,Kcap Holdings,NA,NA,NA,NA,NA,NA,NA
first,Procter & Gamble,PROCTER & GAMBLE CO,43646,C - Industrie manufacturière,CINCINNATI,US,1952,115095
first,The Coca-Cola Company,COCA-COLA COMPANY (THE),43465,C - Industrie manufacturière,ATLANTA,US,7188,83216
first,S&P Global,S&P GLOBAL INC.,43465,J - Information et communication,NEW YORK,US,9495,9458
first,USM Holdings Limited,USM HOLDING AG,2019,"M - Activités spécialisées, scientifiques et techniques",MURI B. BERN,CH,9609,n.d.
first,The Financial Times,FINANCIAL TIMES LIMITED(THE),43100,J - Information et communication,LONDON,GB,10253,340.581807434082
first,The Economist,ECONOMIST NEWSPAPER LIMITED(THE),43190,J - Information et communication,LONDON,GB,10607,349.513897871494
first,Ringier AG,RINGIER AG,2019,J - Information et communication,ZOFINGEN,CH,11038,n.d.
first,Sberbank,SBERBANK of RUSSIA OAO,43465,K - Activités financières et d'assurance,MOSCOW,RU,15006,449074.863500427
first,Pfizer Inc.,PFIZER INC,43465,C - Industrie manufacturière,NEW YORK,US,15494,159422
first,The Dow Chemical Company,DOW CHEMICAL COMPANY (THE),43465,C - Industrie manufacturière,MIDLAND,US,17329,77378
first,The Daily Telegraph,TELEGRAPH MEDIA GROUP LIMITED,43100,J - Information et communication,LONDON,GB,17623,296.712652587891
first,Frankfurter Allgemeine Zeitung,FRANKFURTER ALLGEMEINE ZEITUNG GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,43100,J - Information et communication,FRANKFURT,DE,18244,526.910376424839
first,Teck Resources Limited,TECK RESOURCES LIMITED,43465,C - Industrie manufacturière,VANCOUVER,CA,18895,29049.1898572445
first,Agence France Presse (AFP),AGENCE FRANCE PRESSE,NA,J - Information et communication,PARIS,FR,19725,n.d.
first,Les Echos,LES ECHOS,43100,J - Information et communication,PARIS,FR,21186,102.758322527878
first,China Central Television,CHINA CENTRAL TELEVISION,NA,J - Information et communication,BEIJING,CN,21306,15721.7271429363
first,Wal-Mart Stores Inc.,WALMART INC.,43496,G - Commerce; réparation d'automobiles et de motocycles,BENTONVILLE,US,25507,219295
first,Saudi Basic Industries Corporation (SABIC),SAUDI BASIC INDUSTRIES CORPORATION (SAUDI JOINT STOCK COMPANY),NA,C - Industrie manufacturière,RIYADH,SA,28129,85256.2375131257
first,The Olayan Group,OLAYAN FINANCING COMPANY LIMITED,42735,K - Activités financières et d'assurance,RIYADH (AL),SA,28557,n.d.
first,Dentsu Aegis Network Ltd,DENTSU AEGIS NETWORK LTD.,43465,N - Activités de services administratifs et de soutien,LONDON,GB,28829,17638.9936455131
first,BBC,BRITISH BROADCASTING CORPORATION,38807,NA,BELFAST,GB,28979,4227.60429568291
first,Neue Zürcher Zeitung,AKTIENGESELLSCHAFT FUR DIE NEUE ZURCHER ZEITUNG,NA,C - Industrie manufacturière,ZURICH,CH,30357,354.762875983715
first,Standard Chartered Bank,STANDARD CHARTERED PLC,43465,K - Activités financières et d'assurance,LONDON,GB,31048,688762
first,PepsiCo Inc.,PEPSICO INC,43463,C - Industrie manufacturière,PURCHASE,US,31729,77648
first,Saudi Aramco,SAUDI ARABIA OIL COMPANY (SAUDI ARAMCO) SAUDI JOINT STOCK COMPANY,43465,"M - Activités spécialisées, scientifiques et techniques",DHAHRAN (AL),SA,32460,n.d.
first,Suncor Energy Inc.,SUNCOR ENERGY INC.,43465,C - Industrie manufacturière,CALGARY,CA,32509,65668.9390355349
first,Transnet SOC Ltd,TRANSNET,42460,F - Construction,MIDRAND,ZA,32923,n.d.
first,VTB Bank,VTB BANK (PUBLIC JOINT-STOCK COMPANY),NA,K - Activités financières et d'assurance,ST. PETERSBURG,RU,33163,212472.615760379
first,SK Holdings,"SK HOLDINGS CO., LTD.",NA,J - Information et communication,SEOUL,KR,33341,107069.094174915
first,Qualcomm,QUALCOMM INC,43373,C - Industrie manufacturière,SAN DIEGO,US,33465,32718
first,PAG,PSG GROUP LIMITED,43159,K - Activités financières et d'assurance,STELLENBOSCH,ZA,34700,6936.60149473697
first,RGE Pte Ltd,RGE PTE. LTD.,NA,"M - Activités spécialisées, scientifiques et techniques",SINGAPORE,SG,35180,9.29247328465462
first,TIBCO Software Inc.,TIBCO SOFTWARE INC,41608,J - Information et communication,PALO ALTO,US,35382,2006113
first,Pictet Group,PICTET EUROPE SA,NA,NA,LUXEMBOURG,LU,35853,n.d.
first,Salesforce,"SALESFORCE.COM, INC.",43496,J - Information et communication,SAN FRANCISCO,US,36194,30737
first,PayPal,"PAYPAL, INC.",37256,J - Information et communication,SAN JOSE,US,36228,278577
first,Yahoo! Inc.,ALTABA INC.,NA,J - Information et communication,NEW YORK,US,36243,47553811
first,SWIFT SCRL,SWIFT SCRL,NA,K - Activités financières et d'assurance,MADRID,ES,36281,n.d.
first,UPS,UNITED PARCEL SERVICE INC,43465,H - Transports et entreposage,ATLANTA,US,36356,50016
first,Handelsblatt GmbH,HANDELSBLATT GMBH,2019,J - Information et communication,DUESSELDORF,DE,36480,n.d.
first,Time Warner Inc.,WARNER MEDIA LLC,43100,J - Information et communication,NEW YORK,US,36560,69209
first,Zurich Insurance Group,ZURICH INSURANCE GROUP AG,2019,K - Activités financières et d'assurance,ZURICH,CH,36648,n.d.
first,Temasek International Pte Ltd,TEMASEK PTE. LTD.,NA,"M - Activités spécialisées, scientifiques et techniques",SINGAPORE,SG,36846,197.834110919416
first,Le Monde,LE MONDE,40543,"M - Activités spécialisées, scientifiques et techniques",PARIS,FR,36864,247.810263345741
first,REMA 1000,REMA 1000 AS,NA,N - Activités de services administratifs et de soutien,OSLO,NO,37054,2172.49712021649
first,Shell,ROYAL DUTCH SHELL PLC,40402,K - Activités financières et d'assurance,'S-GRAVENHAGE,NL,37292,270309.818435669
first,PwC,PRICEWATERHOUSECOOPERS LLP,43281,"M - Activités spécialisées, scientifiques et techniques",LONDON,GB,37599,2642.35333454609
first,PETRONAS (Petroliam Nasional Bhd),PETROLIAM NASIONAL BERHAD - BANKBOSTON BANCO MULTIPLO S.A.,2018,K - Activités financières et d'assurance,NA,BR,37610,n.d.
first,SICPA Holding SA,SICPA HOLDING S.A.,2018,K - Activités financières et d'assurance,NA,BR,37797,n.d.
first,Deutsche Welle,DEUTSCHE WELLE,NA,Q - Santé humaine et action sociale,MOSCOW,RU,38448,n.d.
first,France 24,FRANCE 24,40543,J - Information et communication,ISSY LES MOULINEAUX,FR,38687,74.2573771288362
first,The Western Union Company,WESTERN UNION CO. (THE),43465,"M - Activités spécialisées, scientifiques et techniques",DENVER,US,38765,8996.8
first,Roland Berger,ROLAND BERGER HOLDING GMBH,40543,"M - Activités spécialisées, scientifiques et techniques",MUENCHEN,DE,38793,398.937180803418
first,UC RUSAL,UC RUSAL LIMITED,NA,NA,NA,HK,39497,n.d.
first,The Carlyle Group,CARLYLE GROUP L.P.,43465,K - Activités financières et d'assurance,WASHINGTON,US,40742,12914.2
first,Workday Inc.,"WORKDAY, INC.",43496,J - Information et communication,PLEASANTON,US,40984,5520746
first,Renova Group,RENOVA GRUPP,43100,G - Commerce; réparation d'automobiles et de motocycles,EKATERINBURG,RU,41232,4.47887324488163
first,The Times,NEWS CORPORATION,43646,C - Industrie manufacturière,NEW YORK,US,41254,15711
first,Politico,POLITICO,43465,J - Information et communication,BRUXELLES,BE,41382,10.0383654733952
first,Puma Energy Holdings,PUMA ENERGY HOLDINGS PTE. LTD.,NA,K - Activités financières et d'assurance,SINGAPORE,SG,41396,8337.243543037
first,UBS Group AG,UBS GROUP AG,2019,K - Activités financières et d'assurance,ZURICH,CH,41803,n.d.
first,Unison Capital Inc.,"UNISON CAPITAL, INC.",43465,K - Activités financières et d'assurance,CHIYODA-KU,JP,2008,18.4515031950921
first,Suntory Holdings Limited,SUNTORY HOLDINGS LIMITED,43465,K - Activités financières et d'assurance,KITA-KU OSAKA-SHI,JP,2009,39897.719158262
first,NHK (Japan Broadcasting Corporation),JAPAN BROADCASTING CORPORATION,43190,J - Information et communication,SHIBUYA-KU,JP,1950,n.d.
first,Orkla ASA,ORKLA ASA,43465,C - Industrie manufacturière,OSLO,NO,1654,6042.46259258688
first,PZU SA,POWSZECHNY ZAKLAD UBEZPIECZEN SA,43100,K - Activités financières et d'assurance,NA,PL,1803,87388.3540243507
first,Willis Towers Watson,WILLIS TOWERS WATSON PUBLIC LIMITED COMPANY,43465,K - Activités financières et d'assurance,DUBLIN,IE,1828,32385
first,Rothschild,ROTHSCHILD & CO,43465,K - Activités financières et d'assurance,PARIS,FR,1838,15126.5156023459
first,The Associated Press (AP),ASSOCIATED PRESS,2018,J - Information et communication,NEW YORK,US,1846,n.d.
first,Siemens AG,SIEMENS AG,43373,C - Industrie manufacturière,MUNCHEN,DE,1847,160808.043399453
first,Prudential Plc,PRUDENTIAL PLC,43465,K - Activités financières et d'assurance,LONDON,GB,1848,645749.99984324
first,Süddeutsche Zeitung,SUEDDEUTSCHE ZEITUNG GMBH,39082,J - Information et communication,MUENCHEN,DE,1865,177.782172181606
first,Schneider Electric,SCHNEIDER ELECTRIC SE,43465,C - Industrie manufacturière,RUEIL-MALMAISON,FR,1871,48386.5793823004
first,Wendel,WENDEL,43465,C - Industrie manufacturière,PARIS,FR,1871,16393.0877605796
first,CNN,"CNN AMERICA, INC.",NA,J - Information et communication,ATLANTA,US,1876,n.d.
first,Telenor Group,TELENOR ASA,43465,J - Information et communication,FORNEBU,NO,1885,22010.5868519545
first,Skanska AB,SKANSKA AB,43465,F - Construction,SOLNA,SE,1887,12984.9714625478
first,Philips,KONINKLIJKE PHILIPS N.V.,43465,C - Industrie manufacturière,AMSTERDAM,NL,1891,29791.7700122595
first,Rabobank Group,COOPERATIEVE RABOBANK U.A.,43465,K - Activités financières et d'assurance,UTRECHT,NL,1898,676050.705666184
first,Toshiba Corporation,TOSHIBA CORPORATION,43555,C - Industrie manufacturière,TOKYO,JP,1904,38742.7351917028
first,Volkswagen AG,VOLKSWAGEN AG,43465,C - Industrie manufacturière,WOLFSBURG,DE,1904,524588.884343624
first,Yara International ASA,YARA INTERNATIONAL ASA,43465,B - Industries extractives,OSLO,NO,1905,16656
first,Vattenfall AB,VATTENFALL AB,43465,"D - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",SOLNA,SE,1909,51652.2638641596
first,Wesfarmers Limited,WESFARMERS LIMITED,NA,C - Industrie manufacturière,PERTH,AU,1914,27297.1773378253
first,Volvo,AB VOLVO,43465,C - Industrie manufacturière,GOTEBORG,SE,1915,52998.2588337287
first,Vnesheconombank,VNESHECONOMBANK,2018,K - Activités financières et d'assurance,NEW YORK,US,1917,n.d.
first,State Farm Insurance Companies,STATE FARM MUTUAL AUTOMOBILE INSURANCE CO.,NA,K - Activités financières et d'assurance,BLOOMINGTON,US,1922,159865.233167
first,Total,TOTAL S.A.,43465,B - Industries extractives,COURBEVOIE,FR,1924,256762
first,Unilever,UNILEVER PLC,43465,C - Industrie manufacturière,WIRRAL,GB,1930,68077.1543045044
first,The Washington Post,WP CO LLC,2018,C - Industrie manufacturière,WASHINGTON,US,1933,n.d.
first,Publicis Groupe SA,PUBLICIS GROUPE SA,43465,"M - Activités spécialisées, scientifiques et techniques",PARIS,FR,1938,31006.6156244278
first,Takeda Pharmaceutical Company Limited,"TAKEDA PHARMACEUTICAL CO., LTD.",43555,C - Industrie manufacturière,"CHUO, TOKYO",JP,1943,125066.016995622
first,Renault-Nissan Alliance,RENAULT,43465,C - Industrie manufacturière,BOULOGNE-BILLANCOURT,FR,1945,131670.486349583
first,Wipro Limited,WIPRO LIMITED,NA,J - Information et communication,BANGALORE,IN,1945,12045.0386557709
first,Sasol Limited,SASOL LIMITED,43281,C - Industrie manufacturière,SANDTON,ZA,1950,31895.4182807729
first,CBS News,CBS NEWS DIVISION,NA,J - Information et communication,NEW YORK,US,1959,n.d.
first,The Boston Consulting Group,BOSTON CONSULTING GROUP INC,2018,"M - Activités spécialisées, scientifiques et techniques",BOSTON,US,1963,n.d.
first,NBCUniversal,NBCUNIVERSAL INC,NA,J - Information et communication,NEW YORK,US,1963,n.d.
first,SNC-Lavalin Group Inc.,SNC-LAVALIN GROUP INC,43100,"M - Activités spécialisées, scientifiques et techniques",MONTREAL,CA,1967,9485.88223899126
first,SAP SE,SAP SE,43465,J - Information et communication,WALLDORF,DE,1972,58957.2247089148
first,Sequoia Capital,SEQUOIA CAPITAL OPERATIONS LLC,2018,K - Activités financières et d'assurance,MENLO PARK,US,1972,n.d.
first,Statoil ASA,EQUINOR ASA,43465,B - Industries extractives,STAVANGER,NO,1972,112508
first,Reliance,RELIANCE INDUSTRIES LIMITED,43555,C - Industrie manufacturière,MUMBAI,IN,1973,144916.45795133
first,Thomson Reuters,THOMSON REUTERS CORPORATION,43465,"M - Activités spécialisées, scientifiques et techniques",TORONTO,CA,1977,17047
first,Bloomberg News,BLOOMBERG LP,NA,J - Information et communication,NEW YORK,US,1981,n.d.
first,Westpac Banking Corporation,WESTPAC BANKING CORPORATION,43373,K - Activités financières et d'assurance,SYDNEY,AU,1982,635241.321680546
first,Technogym SpA,TECHNOGYM S.P.A.,43465,"R - Arts, spectacles et activités récréatives",CESENA,IT,1983,692.463143936515
first,The Blackstone Group,THE BLACKSTONE GROUP INC,NA,K - Activités financières et d'assurance,"NEW YORK, NY",US,1985,28924.65
first,Der Spiegel,SPIEGEL ONLINE GMBH,40178,J - Information et communication,HAMBURG,DE,1989,9.65008905960122
first,Spiegel Online,SPIEGEL ONLINE GMBH,40178,J - Information et communication,HAMBURG,DE,1989,9.65008905960122
first,The National Commercial Bank (NCB),BANKA KOMBETARE TREGTARE SH.A.,43465,K - Activités financières et d'assurance,TIRANA,AL,1993,3940969
first,Turkcell Iletisim Hizmetleri AS,TURKCELL ILETISIM HIZMETLERI A.S.,NA,J - Information et communication,ISTANBUL,TR,1993,8121.55696792528
first,SOCAR,STATE OIL COMPANY OF AZERBAIJAN REPUBLIC,43100,NA,TEHRAN,IR,1994,n.d.
first,TPG Global LLC,TPG GLOBAL LLC,2018,NA,SAN FRANCISCO,US,1994,n.d.
first,Suzlon Energy Limited,SUZLON ENERGY LIMITED,43190,"D - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",AHMEDABAD,IN,1995,1709.69695882732
first,Welspun Corp. Ltd,WELSPUN CORP LIMITED,43190,C - Industrie manufacturière,MUMBAI,IN,1995,1182.78475637441
first,Soros Fund Management LLC,SOROS FUND MANAGEMENT LLC,2018,N - Activités de services administratifs et de soutien,NEW YORK,US,1996,n.d.
first,Burda Media,BURDA MEDIA POLSKA SP. Z O.O.,43100,J - Information et communication,WARSZAWA,PL,1997,20.0311191765368
first,Saudi Telecom Group,SAUDI TELECOM COMPANY (SAUDI JOINT STOCK COMPANY),NA,J - Information et communication,RIYADH,SA,1998,29852.9735569538
first,Vestas Wind Systems A/S,VESTAS WIND SYSTEMS A/S,43465,"D - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",AARHUS,DK,1998,13624.3618654013
first,Sanofi,SANOFI,43465,C - Industrie manufacturière,PARIS,FR,1999,127562.224279404
first,The Depository Trust & Clearing Corporation (DTCC),DEPOSITORY TRUST & CLEARING CORP,2018,K - Activités financières et d'assurance,NEW YORK,US,1999,n.d.
first,Viking Global Investors LP,VIKING GLOBAL INVESTORS LP,2018,K - Activités financières et d'assurance,GREENWICH,US,1999,n.d.
first,PhosAgro,PUBLIC JOINT STOCK COMPANY PHOSAGRO,NA,C - Industrie manufacturière,MOSCOW,RU,2001,4120.05944885593
first,PTT Public Company Limited,PTT PUBLIC COMPANY LIMITED,NA,B - Industries extractives,"JATUJAK, BANGKOK",TH,2001,72588.5476874626
first,Al Arabiya,AL ARABIYA NEWS CHANNEL FZ LLC,42735,NA,DUBAI,AE,2003,n.d.
first,Palantir Technologies,PALANTIR TECHNOLOGIES,2018,J - Information et communication,PALO ALTO,US,2004,n.d.
first,Sibur,PUBLIC JOINT STOCK COMPANY SIBUR HOLDING,NA,B - Industries extractives,MOSCOW,RU,2005,18117.6786808353
first,SkyBridge Capital,SKYBRIDGE CAPITAL LLC,2018,K - Activités financières et d'assurance,NEW YORK,US,2005,n.d.
first,WPP Plc,WPP PLC,43465,"M - Activités spécialisées, scientifiques et techniques",ST HELIER,GB,2005,42996.7212293267
first,Ørsted,ORSTED A/S,43465,O - Administration publique,FREDERICIA,DK,2006,26777.7714110911
first,Forbes Media LLC,FORBES MEDIA LLC,2018,C - Industrie manufacturière,NEW YORK,US,2006,n.d.
first,Fox News,FOX NEWS,2009,J - Information et communication,NEW YORK,US,2006,n.d.
first,SUN Group,SUN GROUP CORP,43465,L - Activités immobilières,DA NANG,VN,2007,355.810554056338
first,Visa Inc.,VISA INC,NA,K - Activités financières et d'assurance,"SAN FRANCISCO, CA",US,2007,69225
first,Sompo Holdings Inc.,SOMPO HOLDINGS INC.,43190,K - Activités financières et d'assurance,TOKYO,JP,2010,112518.339640782
first,XL Group Plc,XL GROUP PLC,NA,K - Activités financières et d'assurance,STAMFORD,US,2011,n.d.
first,Edelman,EDELMAN,2018,"M - Activités spécialisées, scientifiques et techniques",PORTLAND,US,2012,n.d.
first,The Wall Street Journal,WALL STREET JOURNAL,NA,C - Industrie manufacturière,NEW YORK,US,2012,n.d.
first,The New York Times,NEW YORK TIMES CO,43464,C - Industrie manufacturière,NEW YORK,US,1896,2197123
first,Swiss Reinsurance Company,SWISS REINSURANCE GROUP (US MARKET AGGREGATE),NA,K - Activités financières et d'assurance,ARMONK,US,NA,20606.245028
first,Syngenta International AG,NA,NA,NA,NA,NA,NA,NA
first,TD Bank Group,Toronto-Dominion Bank,NA,NA,NA,NA,NA,NA
first,The Abraaj Group,THE ABRAAJ GROUP,2019,K - Activités financières et d'assurance,LONDON,GB,NA,n.d.
first,Business Insider Inc.,"BUSINESS INSIDER, INC.",NA,C - Industrie manufacturière,NEW YORK,US,NA,n.d.
first,Fortune Magazine,FORTUNE MAGAZINE,NA,J - Information et communication,CHICAGO,US,NA,n.d.
first,Swiss Radio and Television (RTS),NA,NA,NA,NA,NA,NA,NA
first,The Guardian,THE GUARDIAN,2019,J - Information et communication,LONDON,GB,NA,n.d.
first,Univision,UNIVISION NETWORK,NA,J - Information et communication,NEW YORK,US,NA,n.d.
second,Harvard University - Harvard Business School,Harvard University - Harvard Business School,,,,,,
second,London Business School,London Business School,,,,,,
second,INSEAD,INSEAD,,,,,,
second,Harvard University,Harvard University,,,,,,
second,Harvard University - Harvard Kennedy School of Government,Harvard University - Harvard Kennedy School of Government,,,,,,
second,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),,,,,,
second,Massachusetts Institute of Technology (MIT) - Media Lab,Massachusetts Institute of Technology (MIT) - Media Lab,,,,,,
second,Stanford University,Stanford University,,,,,,
second,University of Oxford,University of Oxford,,,,,,
second,"University of California, Berkeley","University of California, Berkeley",,,,,,
second,Carnegie Mellon University,Carnegie Mellon University,,,,,,
second,Columbia University,Columbia University,,,,,,
second,University of Pennsylvania,University of Pennsylvania,,,,,,
second,Imperial College London,Imperial College London,,,,,,
second,Princeton University,Princeton University,,,,,,
second,ETH Zurich,ETH Zurich,,,,,,
second,Yale University,Yale University,,,,,,
second,University of Cambridge,University of Cambridge,,,,,,
second,National University of Singapore,National University of Singapore,,,,,,
second,Korea Advanced Institute of Science and Technology (KAIST),Korea Advanced Institute of Science and Technology (KAIST),,,,,,
second,Tsinghua University,Tsinghua University,,,,,,
second,London School of Economics and Political Science,London School of Economics and Political Science,,,,,,
second,New York University,New York University,,,,,,
second,China Europe International Business School (CEIBS),China Europe International Business School (CEIBS),,,,,,
second,University of Southern California (USC),University of Southern California (USC),,,,,,
second,University College London (UCL),University College London (UCL),,,,,,
second,Australian National University,Australian National University,,,,,,
second,Duke University,Duke University,,,,,,
second,Peking University,Peking University,,,,,,
second,Ecole Polytechnique Fédérale de Lausanne (EPFL),Ecole Polytechnique Fédérale de Lausanne (EPFL),,,,,,
second,Georgetown University,Georgetown University,,,,,,
second,University of Chicago,University of Chicago,,,,,,
second,McGill University,McGill University,,,,,,
second,University of Geneva,University of Geneva,,,,,,
second,Keio University,Keio University,,,,,,
second,International Finance Corporation (IFC),International Finance Corporation (IFC),,,,,,
second,Confederation of Indian Industry (CII),Confederation of Indian Industry (CII),,,,,,
second,GSMA,GSMA,,,,,,
second,Economiesuisse,Economiesuisse,,,,,,
second,International Chamber of Commerce (ICC),International Chamber of Commerce (ICC),,,,,,
second,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,,,,,,
second,The Rockefeller Foundation,The Rockefeller Foundation,,,,,,
second,United Nations Foundation,United Nations Foundation,,,,,,
second,The World Bank,The World Bank,,,,,,
second,African Development Bank (AfDB),African Development Bank (AfDB),,,,,,
second,European Bank for Reconstruction and Development (EBRD),European Bank for Reconstruction and Development (EBRD),,,,,,
second,International Monetary Fund,International Monetary Fund,,,,,,
second,European Investment Bank (EIB),European Investment Bank (EIB),,,,,,
second,European Central Bank,European Central Bank,,,,,,
second,Development Bank of Southern Africa,Development Bank of Southern Africa,,,,,,
second,United Nations,United Nations,,,,,,
second,United Nations - UNICEF,United Nations - UNICEF,,,,,,
second,United Nations - UNHCR,United Nations - UNHCR,,,,,,
second,United Nations - UNDP,United Nations - UNDP,,,,,,
second,European Commission,European Commission,,,,,,
second,OECD,OECD,,,,,,
second,World Health Organization (WHO),World Health Organization (WHO),,,,,,
second,World Trade Organization (WTO),World Trade Organization (WTO),,,,,,
second,International Federation of Red Cross and Red Crescent Societies (IFRC),International Federation of Red Cross and Red Crescent Societies (IFRC),,,,,,
second,ONE,ONE,,,,,,
second,Save the Children,Save the Children,,,,,,
second,World Wide Fund for Nature (WWF),World Wide Fund for Nature (WWF),,,,,,
second,Catholic Church,Catholic Church,,,,,,
second,World Economic Forum,World Economic Forum,,,,,,
second,Bertelsmann Stiftung,Bertelsmann Stiftung,,,,,,
